Project Code,Project Title,Status,Current Stage,Domain,Start Date,Close Date,Budget,Employee,Priority,Date,addempcount
TEL081,CPD Platform – Integrations,Not Started,Initiate,Back-end Developer,09-01-2023,28-07-2023,"$2,031.81 ",8,Duration,_,1
EST142,Archibus Upgrade Project,Not Started,Initiate,Front-end Developer,04-09-2022,05-10-2022,"$2,260.63 ",7,Cost,_,2
LUC065,DSpace 7 Upgrades,Not Started,Initiate,Database,22-08-2022,23-09-2022,"$2,271.94 ",5,Cost,_,4
RSS410,Interfaces to digital services,In Progress,Plan,Front-end Developer,15-08-2022,15-09-2022,"$2,411.87 ",15,Cost,_,3
RSS409,Research Services Architecture Security Review,Not Started,Initiate,Back-end Developer,15-08-2022,31-10-2022,"$2,685.95 ",6,Duration,_,1
RSS501,DataStore Fibre Channel Replacement,In Progress,Build,Front-end Developer,09-08-2022,30-11-2022,"$2,430.87 ",15,Cost,_,5
ENT401,Enterprise Infrastructure Migrations,Not Started,Initiate,Database,09-08-2022,28-04-2023,"$2,099.93 ",10,Cost,_,6
MVM535,Marketing Performance and Analytics Framework,In Progress,Initiate,Back-end Developer,05-08-2022,02-11-2022,"$2,187.92 ",15,Duration,_,1
DLIB019,Vernon Procurement Review,Not Started,Initiate,Front-end Developer,04-08-2022,28-02-2023,"$2,259.94 ",9,Cost,_,2
EST136,Contact Database for Estates Help Desk,Not Started,Initiate,Database,04-08-2022,30-11-2022,"$2,237.55 ",14,Cost,_,5
RSS411,Interoperation with EIDF architecture and service design,In Progress,Plan,Back-end Developer,01-08-2022,29-07-2022,"$2,273.12 ",15,Duration,_,6
RSS413,Improving access mechanisms to compute and data,Suspended,Plan,Front-end Developer,01-08-2022,03-12-2022,"$2,402.65 ",13,Cost,_,1
TTU025,Timetabling Upgrade to V4,In Progress,Initiate,Database,01-08-2022,31-01-2023,"$2,425.98 ",15,Cost,_,2
AV2960,General Microsoft Teams Room,Suspended,Initiate,Back-end Developer,01-08-2022,16-12-2022,"$2,568.86 ",12,Duration,_,4
AV2962,APUC - AV Procurement Framework,In Progress,Analyse,Database,01-08-2022,16-12-2022,"$2,527.11 ",8,Cost,_,3
MVM534,Research Staff Salary Charging Process,In Progress,Initiate,Front-end Developer,28-07-2022,05-09-2022,"$2,619.23 ",7,Cost,_,1
ISG021,Upgrading the Projects Website ,In Progress,Plan,Back-end Developer,25-07-2022,31-10-2023,"$2,835.03 ",5,Duration,_,5
AV2981,St Cecilias Meeting Rooms,Suspended,Initiate,Database,14-07-2022,09-08-2022,"$2,793.56 ",15,Cost,_,6
AV2982,Inspace Hybrid Upgrade,In Progress,Procure,Back-end Developer,14-07-2022,16-09-2022,"$2,727.76 ",6,Cost,_,1
DST402,Locally Managed Windows Devices - Setting a Strategy,Withdrawn,Initiate,Front-end Developer,13-07-2022,30-09-2022,"$2,859.57 ",15,Duration,_,2
ISG025,Data Warehouse Enhancements 2022-23,In Progress,Plan,Database,11-07-2022,31-07-2023,"$2,864.00 ",10,Cost,_,5
INF163,CentOS 7 EOL,In Progress,Plan,Back-end Developer,04-07-2022,06-02-2023,"$2,976.42 ",15,Cost,_,6
COR007f ,HDS Payroll Document PDF Generator,In Progress,Plan,Front-end Developer,04-07-2022,12-10-2022,"$2,800.03 ",9,Duration,_,1
AV2983,Edinburgh College of Art Project (ECAP) - Stage 2,In Progress,Design,Back-end Developer,01-07-2022,13-09-2024,"$2,737.05 ",14,Cost,_,2
AV2984,Teviot Row House Project (TRHP) - Stage 2,In Progress,Design,Database,01-07-2022,13-09-2024,"$2,629.96 ",15,Cost,_,4
SCE021,Email Migration for the School of Physics and Astronomy (SoPA),In Progress,Plan,Front-end Developer,30-06-2022,30-09-2022,"$2,208.00 ",13,Duration,_,3
DLIB010,Digital Library Services Resourcing Model,In Progress,Plan,Back-end Developer,27-06-2022,30-12-2022,"$2,437.18 ",15,Cost,_,1
RSS412,Research Services Network Security Review,Closed,Close,Database,22-06-2022,29-07-2022,"$2,586.18 ",12,Cost,_,5
EST141,Enhanced Space Management for EFI,In Progress,Plan,Front-end Developer,20-06-2022,27-01-2023,"$2,556.18 ",8,Duration,_,6
AV2978,CRC Small Upgrades 2022,Suspended,Procure,Back-end Developer,10-06-2022,29-07-2022,"$2,538.10 ",7,Cost,_,1
PMO008,Professional Development (Learning and Development),In Progress,Execute,Database,10-06-2022,11-08-2022,"$2,658.29 ",5,Cost,_,2
PMO007,Unified Resourcing Process,In Progress,Execute,Back-end Developer,10-06-2022,11-08-2022,"$2,671.50 ",15,Duration,_,5
PMO010,Information Signposting ,Closed,Close,Front-end Developer,10-06-2022,03-08-2022,"$2,715.00 ",6,Cost,_,6
PMO009,Process Mapping Framework,Closed,Close,Database,08-06-2022,03-08-2022,"$2,710.35 ",15,Duration,_,1
